,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Isolate ID,A549ERKFRA1 Confluence Disruption Score,A549ERKFRA1 Cytotoxicity Score,A549ERKFRA1 Immune Evasion Score,100CFU L. grayi,100CFU S.epidermis,FimH+,QSec+,100CFU PA01,BHI,100CFU S. flexneri,Cwp84+,unenriched
1,S1_unenriched,3.4292162698412727,-6.339714285714282,-1.4628571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,S2_unenriched,2.265525793650796,-6.562285714285709,-1.0441071428571411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,S3_unenriched,,-8.041714285714283,-1.0916071428571417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,S4_unenriched,,-7.498999999999997,-1.0044642857142847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,S5_unenriched,,-6.765285714285714,-0.8123214285714291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,S6_unenriched,,-6.635285714285711,-0.9330357142857124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,S7_unenriched,3.9951176303854905,-6.528428571428568,-1.1021428571428569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,S8_unenriched,,-5.7692857142857115,-0.7199999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,S9_unenriched,4.390079365079368,-7.782714285714283,-0.13660714285714273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,S10_unenriched,0.6942385095063659,-6.457857142857137,-0.9516071428571422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,S11_Cwp84+,,-6.697999999999998,-0.7728571428571425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12,S12_FimH+,,-7.2802857142857125,-1.199464285714287,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,S13_FimH+,,-6.91885714285714,-1.1400000000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,"S14_FimH+,QSec+",,-6.812571428571421,-1.2167857142857144,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
15,S15_unenriched,,-6.715857142857139,-0.6683928571428559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,S16_100CFU S. flexneri,4.119029195011342,-6.940571428571422,0.36232142857142685,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17,S17_100CFU L. grayi,,-7.420571428571427,-0.897857142857143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,S18_BHI,,-4.183285714285709,-1.092321428571428,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19,S19_100CFU PA01,,-6.792714285714281,-1.0983928571428565,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,S20_100CFU S.epidermis,4.0047123015873005,-7.760571428571425,-1.131964285714286,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
