,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,Isolate ID,A549ERKFRA1 Confluence Disruption Score,A549ERKFRA1 Cytotoxicity Score,A549ERKFRA1 Immune Evasion Score,,Cwp84+,A. globiformis,100CFU E.anophelis,100CFU PA01,LB,PBS,TA1SoilMedia,C5a+,unenriched,Cur+,DFOB+,100CFU S.epidermis,FITC+,P. phenylpyruvicus,FimH+,Cy3+,C5a-,BHI,T3SS+,NB
1,S1_unenriched,-3.264455891330888,-3.256142857142857,6.208571428571422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,S2_unenriched,-3.500857259570494,-5.487928571428566,4.7085714285714255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,S3_unenriched,-3.1917186041083085,-5.3532857142857155,14.947857142857133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,S4_unenriched,-3.1279691043083897,-5.542928571428568,6.122857142857138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,S5_unenriched,-3.015842378618111,-4.466857142857144,8.244285714285732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,S6_unenriched,-3.117636846405227,-3.919714285714288,8.10142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,S7_unenriched,-3.626174886621312,-5.357571428571429,5.612142857142865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,S8_unenriched,-3.347986111111111,-6.499714285714282,7.708571428571441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,S9_unenriched,-3.052033104908629,-3.4840000000000004,9.708571428571435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,S10_unenriched,-3.6224503968253967,-5.559714285714286,4.969285714285706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
