,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Isolate ID,A549ERKFRA1 Confluence Disruption Score,A549ERKFRA1 Cytotoxicity Score,A549ERKFRA1 Immune Evasion Score,,Cwp84+,A. globiformis,100CFU PA01,LB,PBS,TA1SoilMedia,C5a+,unenriched,Cur+,DFOB+,100CFU S.epidermis,FITC+,P. phenylpyruvicus,FimH+,Cy3+,C5a-,BHI,T3SS+,NB
1,"S25_Cy3+,Cwp84+",-3.146165674603174,-6.962714285714284,-0.7092857142857139,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,"S26_Cy3+,Cwp84+",-3.4656349206349213,-7.291,-0.7798214285714278,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,"S27_Cy3+,Cwp84+",-3.4149886621315195,-7.800142857142856,-0.9048214285714286,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,"S28_C5a-,Cur+",-3.1212450396825364,-7.591571428571424,-1.1891071428571425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,"S29_C5a-,Cur+",-3.4615248342926894,-7.298857142857142,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,"S30_C5a-,Cur+",-3.4220124716553277,-7.646999999999997,-0.9294642857142844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,"S31_C5a-,Cur+",-3.4236557539682515,-7.135571428571428,-1.1607142857142843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,"S32_C5a-,Cur+",-3.56374503968254,-7.583285714285713,-0.5864285714285721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,"S33_C5a+,Cur+",-3.4022709500466846,-7.4292857142857125,-1.0216071428571425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,"S34_C5a+,Cur+",-3.4492063492063485,-7.525714285714283,-0.8994642857142865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,"S35_C5a+,Cur+",-3.1421874999999977,-7.59842857142857,-0.9173214285714283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"S36_C5a+,Cur+",-3.434527352607709,-5.463142857142857,-0.1941071428571434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,"S37_C5a+,Cur+",-3.294042658730156,-5.773999999999999,-0.42892857142857077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,"S38_C5a+,Cur+",-3.676115362811789,-6.034285714285712,-0.7875000000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"S39_Cy3+,FimH+",-3.135605158730156,-7.740142857142849,-1.234107142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
16,"S40_Cy3+,FimH+",-3.3935218253968236,-6.61514285714286,-0.19553571428571342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
17,"S41_Cy3+,FimH+",-3.4108347505668903,-7.642142857142856,-0.9716071428571424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
18,"S42_Cy3+,FimH+",-3.1525968720821647,-8.194857142857142,-0.8814285714285703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
19,"S43_Cy3+,FimH+",-3.4318095154728536,-7.865999999999996,-0.9928571428571422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
20,"S44_Cy3+,FimH+",-3.1076884920634904,-7.685285714285713,-0.6255357142857141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
